t,v_{x},v_{y},v
5.01E-02,5.96E-02,6.04E-01,6.07E-01
6.67E-02,8.73E-03,5.38E-01,5.38E-01
8.34E-02,6.25E-03,5.25E-01,5.25E-01
1.00E-01,3.62E-03,5.28E-01,5.29E-01
1.17E-01,8.64E-03,5.36E-01,5.36E-01
1.33E-01,7.79E-03,5.41E-01,5.41E-01
1.50E-01,2.19E-03,5.28E-01,5.28E-01
1.67E-01,7.67E-03,5.23E-01,5.23E-01
1.84E-01,9.32E-03,5.41E-01,5.41E-01
2.00E-01,6.66E-03,5.27E-01,5.27E-01
2.17E-01,4.07E-03,5.23E-01,5.23E-01
2.34E-01,4.68E-05,5.43E-01,5.43E-01
2.50E-01,6.64E-03,5.34E-01,5.34E-01
2.67E-01,1.43E-02,5.37E-01,5.37E-01
2.84E-01,8.55E-03,5.34E-01,5.34E-01
3.00E-01,6.02E-03,5.24E-01,5.25E-01
3.17E-01,1.10E-02,5.41E-01,5.41E-01
3.34E-01,7.95E-03,5.33E-01,5.33E-01
3.50E-01,3.32E-03,5.23E-01,5.23E-01
3.67E-01,2.89E-03,5.37E-01,5.37E-01
3.84E-01,5.74E-03,5.35E-01,5.35E-01
4.00E-01,1.15E-02,5.37E-01,5.37E-01
4.17E-01,1.18E-02,5.34E-01,5.34E-01
4.34E-01,9.35E-03,5.28E-01,5.28E-01
4.50E-01,7.43E-03,5.43E-01,5.43E-01
4.67E-01,8.31E-03,5.50E-01,5.50E-01
4.84E-01,7.48E-03,5.50E-01,5.50E-01
5.01E-01,-6.18E-03,5.57E-01,5.57E-01
5.17E-01,1.78E-02,5.05E-01,5.05E-01
5.34E-01,6.77E-02,3.50E-01,3.56E-01
5.51E-01,6.92E-02,2.68E-01,2.77E-01
5.67E-01,5.48E-02,3.05E-01,3.10E-01
5.84E-01,5.54E-02,3.39E-01,3.44E-01
6.01E-01,5.05E-02,3.52E-01,3.56E-01
6.17E-01,3.84E-02,3.72E-01,3.74E-01
6.34E-01,2.24E-02,3.95E-01,3.95E-01
6.51E-01,1.93E-02,4.18E-01,4.18E-01
6.67E-01,4.42E-02,3.86E-01,3.88E-01
6.84E-01,4.42E-02,3.51E-01,3.54E-01
7.01E-01,2.85E-02,3.56E-01,3.57E-01
7.17E-01,3.94E-02,3.48E-01,3.50E-01
7.34E-01,4.52E-02,3.48E-01,3.51E-01
7.51E-01,4.20E-02,3.54E-01,3.57E-01
7.67E-01,3.84E-02,3.50E-01,3.52E-01
7.84E-01,3.77E-02,3.39E-01,3.41E-01
8.01E-01,4.25E-02,3.47E-01,3.50E-01
8.17E-01,4.12E-02,3.52E-01,3.55E-01
8.34E-01,3.44E-02,3.51E-01,3.53E-01
8.51E-01,3.94E-02,3.44E-01,3.46E-01
8.68E-01,4.47E-02,3.42E-01,3.45E-01
8.84E-01,3.73E-02,3.55E-01,3.57E-01
9.01E-01,3.27E-02,3.55E-01,3.56E-01
9.18E-01,4.25E-02,3.44E-01,3.47E-01
9.34E-01,4.07E-02,3.43E-01,3.46E-01
9.51E-01,3.63E-02,3.51E-01,3.52E-01
9.68E-01,3.40E-02,3.52E-01,3.53E-01
9.84E-01,3.76E-02,3.44E-01,3.46E-01
1.00E+00,4.08E-02,3.42E-01,3.45E-01
1.02E+00,3.36E-02,3.53E-01,3.54E-01
1.03E+00,3.04E-02,3.46E-01,3.48E-01
1.05E+00,3.17E-02,3.42E-01,3.43E-01
1.07E+00,3.80E-02,3.57E-01,3.59E-01
1.08E+00,3.63E-02,3.54E-01,3.56E-01
1.10E+00,2.70E-02,3.55E-01,3.56E-01
1.12E+00,2.94E-02,3.60E-01,3.61E-01
1.13E+00,4.23E-02,3.50E-01,3.53E-01
1.15E+00,3.73E-02,3.52E-01,3.54E-01
1.17E+00,2.68E-02,3.57E-01,3.58E-01
