t,v_{x},v_{y},v
1.18E+00,3.06E-02,3.57E-01,3.59E-01
1.20E+00,3.89E-02,3.65E-01,3.68E-01
1.22E+00,3.32E-02,3.49E-01,3.50E-01
1.23E+00,2.33E-02,3.47E-01,3.48E-01
1.25E+00,3.27E-02,3.61E-01,3.62E-01
1.27E+00,4.18E-02,3.60E-01,3.63E-01
1.28E+00,3.00E-02,3.51E-01,3.53E-01
1.30E+00,1.95E-02,3.46E-01,3.47E-01
1.32E+00,3.02E-02,3.57E-01,3.58E-01
1.33E+00,4.09E-02,3.58E-01,3.60E-01
1.35E+00,3.47E-02,3.59E-01,3.61E-01
1.37E+00,2.42E-02,3.51E-01,3.52E-01
1.38E+00,2.81E-02,3.52E-01,3.53E-01
1.40E+00,3.09E-02,3.62E-01,3.63E-01
1.42E+00,3.17E-02,3.45E-01,3.47E-01
1.43E+00,2.42E-02,3.47E-01,3.48E-01
1.45E+00,2.40E-02,3.58E-01,3.59E-01
1.47E+00,3.52E-02,3.61E-01,3.63E-01
1.48E+00,3.01E-02,3.53E-01,3.54E-01
1.50E+00,1.98E-02,3.51E-01,3.51E-01
1.52E+00,2.31E-02,3.59E-01,3.59E-01
1.53E+00,2.75E-02,3.59E-01,3.60E-01
1.55E+00,2.82E-02,3.55E-01,3.56E-01
1.57E+00,2.22E-02,3.54E-01,3.55E-01
1.58E+00,2.01E-02,3.59E-01,3.60E-01
1.60E+00,3.31E-02,3.61E-01,3.63E-01
1.62E+00,2.84E-02,3.57E-01,3.58E-01
1.63E+00,1.91E-02,3.52E-01,3.53E-01
1.65E+00,2.08E-02,3.59E-01,3.59E-01
1.67E+00,3.14E-02,3.65E-01,3.67E-01
1.69E+00,3.09E-02,3.54E-01,3.56E-01
1.70E+00,1.95E-02,3.51E-01,3.51E-01
1.72E+00,2.09E-02,3.68E-01,3.69E-01
1.74E+00,2.61E-02,3.66E-01,3.67E-01
1.75E+00,2.44E-02,3.63E-01,3.64E-01
1.77E+00,2.01E-02,3.55E-01,3.55E-01
1.79E+00,2.41E-02,3.58E-01,3.59E-01
1.80E+00,2.80E-02,3.62E-01,3.63E-01
1.82E+00,2.36E-02,3.52E-01,3.53E-01
1.84E+00,1.36E-02,3.63E-01,3.63E-01
1.85E+00,1.24E-02,3.68E-01,3.68E-01
1.87E+00,2.70E-02,3.60E-01,3.61E-01
1.89E+00,2.54E-02,3.55E-01,3.56E-01
1.90E+00,1.91E-02,3.53E-01,3.54E-01
1.92E+00,1.89E-02,3.65E-01,3.65E-01
1.94E+00,1.78E-02,3.59E-01,3.60E-01
1.95E+00,1.81E-02,3.57E-01,3.58E-01
1.97E+00,1.27E-02,3.68E-01,3.68E-01
1.99E+00,1.32E-02,3.57E-01,3.58E-01
2.00E+00,2.14E-02,3.61E-01,3.62E-01
2.02E+00,1.77E-02,3.67E-01,3.67E-01
2.04E+00,9.04E-03,3.55E-01,3.55E-01
2.05E+00,1.25E-02,3.58E-01,3.58E-01
2.07E+00,1.49E-02,3.69E-01,3.69E-01
2.09E+00,1.29E-02,3.67E-01,3.67E-01
2.10E+00,1.06E-02,3.59E-01,3.60E-01
2.12E+00,1.31E-02,3.61E-01,3.61E-01
2.14E+00,1.45E-02,3.72E-01,3.72E-01
,,,
