t,v_{x},v_{y},v
3.34E-02,-1.12E-01,-1.31E-01,1.72E-01
5.01E-02,-1.87E-04,-4.59E-04,4.95E-04
6.67E-02,-1.71E-04,-3.85E-04,4.21E-04
8.34E-02,6.27E-05,-1.12E-03,1.12E-03
1.00E-01,-7.46E-04,-3.00E-03,3.09E-03
1.17E-01,-7.35E-04,-1.85E-03,1.99E-03
1.33E-01,5.25E-04,1.20E-03,1.31E-03
1.50E-01,-2.26E-04,-8.45E-04,8.75E-04
1.67E-01,-1.23E-03,-1.88E-03,2.24E-03
1.84E-01,-6.79E-04,4.48E-04,8.13E-04
2.00E-01,1.59E-04,8.01E-04,8.17E-04
2.17E-01,-1.05E-03,-1.54E-03,1.87E-03
2.34E-01,-7.57E-03,-9.59E-03,1.22E-02
2.50E-01,-1.19E-02,-1.42E-02,1.86E-02
2.67E-01,-7.67E-03,-8.38E-03,1.14E-02
2.84E-01,-3.63E-03,-4.04E-03,5.43E-03
3.00E-01,-3.60E-03,-4.25E-03,5.57E-03
3.17E-01,-2.05E-03,-2.27E-03,3.06E-03
3.34E-01,6.61E-05,2.98E-04,3.05E-04
3.50E-01,-3.43E-03,-7.56E-03,8.30E-03
3.67E-01,-6.24E-03,-1.03E-02,1.20E-02
3.84E-01,-1.88E-03,-3.52E-03,3.99E-03
4.00E-01,3.61E-03,1.95E-03,4.10E-03
4.17E-01,2.96E-03,-1.70E-02,1.72E-02
4.34E-01,3.01E-03,-2.95E-02,2.96E-02
4.50E-01,4.38E-03,-1.35E-02,1.42E-02
4.67E-01,3.42E-03,-1.13E-02,1.18E-02
4.84E-01,3.19E-03,-3.42E-02,3.43E-02
5.01E-01,8.36E-04,-4.84E-02,4.84E-02
5.17E-01,-1.69E-02,5.41E-02,5.67E-02
5.34E-01,-7.91E-02,3.19E-01,3.28E-01
5.51E-01,-1.16E-01,4.33E-01,4.48E-01
5.67E-01,-1.02E-01,3.68E-01,3.82E-01
5.84E-01,-8.28E-02,3.32E-01,3.42E-01
6.01E-01,-6.44E-02,2.98E-01,3.05E-01
6.17E-01,-5.30E-02,2.58E-01,2.64E-01
6.34E-01,-4.33E-02,2.04E-01,2.08E-01
6.51E-01,-2.46E-02,1.70E-01,1.72E-01
6.67E-01,-4.37E-02,2.55E-01,2.58E-01
6.84E-01,-6.09E-02,2.93E-01,3.00E-01
7.01E-01,-5.32E-02,2.63E-01,2.68E-01
7.17E-01,-6.12E-02,2.94E-01,3.00E-01
7.34E-01,-6.22E-02,2.98E-01,3.05E-01
7.51E-01,-5.92E-02,3.05E-01,3.11E-01
7.67E-01,-5.54E-02,3.10E-01,3.15E-01
7.84E-01,-5.65E-02,3.06E-01,3.11E-01
8.01E-01,-5.66E-02,3.03E-01,3.08E-01
8.17E-01,-6.27E-02,2.97E-01,3.03E-01
8.34E-01,-6.56E-02,2.95E-01,3.03E-01
8.51E-01,-5.99E-02,2.99E-01,3.05E-01
8.68E-01,-5.45E-02,3.04E-01,3.09E-01
8.84E-01,-5.20E-02,3.06E-01,3.11E-01
9.01E-01,-5.73E-02,3.01E-01,3.07E-01
9.18E-01,-5.41E-02,2.92E-01,2.97E-01
9.34E-01,-4.65E-02,2.87E-01,2.90E-01
9.51E-01,-5.56E-02,2.91E-01,2.96E-01
9.68E-01,-6.38E-02,2.94E-01,3.01E-01
9.84E-01,-5.78E-02,2.93E-01,2.99E-01
1.00E+00,-4.73E-02,2.86E-01,2.90E-01
1.02E+00,-5.09E-02,2.82E-01,2.87E-01
1.03E+00,-6.10E-02,2.87E-01,2.94E-01
1.05E+00,-5.76E-02,2.94E-01,2.99E-01
1.07E+00,-4.63E-02,2.84E-01,2.88E-01
1.08E+00,-5.18E-02,2.78E-01,2.83E-01
1.10E+00,-6.14E-02,2.89E-01,2.96E-01
1.12E+00,-5.81E-02,2.93E-01,2.98E-01
1.13E+00,-4.69E-02,2.80E-01,2.84E-01
1.15E+00,-4.82E-02,2.79E-01,2.83E-01
1.17E+00,-6.10E-02,2.90E-01,2.96E-01
1.18E+00,-5.46E-02,2.87E-01,2.92E-01
1.20E+00,-4.69E-02,2.80E-01,2.84E-01
1.22E+00,-5.44E-02,2.83E-01,2.88E-01
1.23E+00,-5.61E-02,2.87E-01,2.93E-01
1.25E+00,-4.81E-02,2.80E-01,2.84E-01
1.27E+00,-4.91E-02,2.82E-01,2.86E-01
1.28E+00,-5.04E-02,2.81E-01,2.86E-01
1.30E+00,-4.62E-02,2.77E-01,2.80E-01
1.32E+00,-4.99E-02,2.84E-01,2.88E-01
1.33E+00,-4.47E-02,2.79E-01,2.82E-01
1.35E+00,-4.51E-02,2.77E-01,2.81E-01
1.37E+00,-5.00E-02,2.79E-01,2.84E-01
1.38E+00,-4.57E-02,2.78E-01,2.81E-01
1.40E+00,-3.96E-02,2.76E-01,2.79E-01
1.42E+00,-4.16E-02,2.75E-01,2.78E-01
