t,v_{x},v_{y},v
1.43E+00,-4.89E-02,2.80E-01,2.84E-01
1.45E+00,-4.58E-02,2.78E-01,2.82E-01
1.47E+00,-4.09E-02,2.76E-01,2.79E-01
1.48E+00,-4.06E-02,2.74E-01,2.77E-01
1.50E+00,-4.79E-02,2.79E-01,2.83E-01
1.52E+00,-4.41E-02,2.78E-01,2.81E-01
1.53E+00,-3.94E-02,2.76E-01,2.79E-01
1.55E+00,-4.33E-02,2.76E-01,2.80E-01
1.57E+00,-4.93E-02,2.78E-01,2.83E-01
1.58E+00,-4.33E-02,2.76E-01,2.80E-01
1.60E+00,-3.29E-02,2.70E-01,2.72E-01
1.62E+00,-3.88E-02,2.73E-01,2.76E-01
1.63E+00,-4.02E-02,2.70E-01,2.73E-01
1.65E+00,-3.83E-02,2.73E-01,2.76E-01
1.67E+00,-3.58E-02,2.75E-01,2.77E-01
1.69E+00,-3.40E-02,2.65E-01,2.68E-01
1.70E+00,-4.04E-02,2.72E-01,2.75E-01
1.72E+00,-3.79E-02,2.72E-01,2.75E-01
1.74E+00,-2.63E-02,2.63E-01,2.65E-01
1.75E+00,-2.95E-02,2.63E-01,2.65E-01
1.77E+00,-3.94E-02,2.70E-01,2.73E-01
1.79E+00,-3.11E-02,2.71E-01,2.72E-01
1.80E+00,-2.12E-02,2.63E-01,2.64E-01
1.82E+00,-2.97E-02,2.63E-01,2.64E-01
1.84E+00,-3.56E-02,2.69E-01,2.71E-01
1.85E+00,-3.18E-02,2.70E-01,2.71E-01
1.87E+00,-2.49E-02,2.63E-01,2.65E-01
1.89E+00,-2.20E-02,2.59E-01,2.60E-01
1.90E+00,-2.98E-02,2.60E-01,2.62E-01
1.92E+00,-2.85E-02,2.64E-01,2.66E-01
1.94E+00,-1.83E-02,2.59E-01,2.60E-01
1.95E+00,-2.01E-02,2.56E-01,2.57E-01
1.97E+00,-3.00E-02,2.65E-01,2.67E-01
1.99E+00,-2.90E-02,2.66E-01,2.68E-01
2.00E+00,-2.21E-02,2.61E-01,2.62E-01
2.02E+00,-2.20E-02,2.58E-01,2.59E-01
2.04E+00,-2.69E-02,2.58E-01,2.60E-01
2.05E+00,-2.27E-02,2.60E-01,2.60E-01
2.07E+00,-1.62E-02,2.58E-01,2.58E-01
2.09E+00,-1.82E-02,2.56E-01,2.56E-01
2.10E+00,-2.19E-02,2.56E-01,2.57E-01
2.12E+00,-2.32E-02,2.60E-01,2.61E-01
2.14E+00,-1.77E-02,2.58E-01,2.59E-01
2.15E+00,-1.54E-02,2.54E-01,2.54E-01
2.17E+00,-2.20E-02,2.54E-01,2.55E-01
2.19E+00,-1.94E-02,2.57E-01,2.58E-01
2.20E+00,-1.34E-02,2.59E-01,2.59E-01
2.22E+00,-1.71E-02,2.55E-01,2.55E-01
,,,
