t,v_{x},v_{y},v
2.17E-01,-1.42E-02,8.88E-01,8.88E-01
2.34E-01,-2.21E-02,8.96E-01,8.96E-01
2.50E-01,-1.91E-02,8.94E-01,8.95E-01
2.67E-01,-1.43E-02,8.84E-01,8.84E-01
2.84E-01,-8.21E-03,8.86E-01,8.86E-01
3.00E-01,-6.24E-03,8.87E-01,8.87E-01
3.17E-01,-6.34E-03,8.87E-01,8.87E-01
3.34E-01,-6.67E-03,8.89E-01,8.89E-01
3.50E-01,-4.60E-03,8.86E-01,8.86E-01
3.67E-01,-4.55E-03,8.95E-01,8.95E-01
3.84E-01,-4.57E-03,8.88E-01,8.88E-01
4.00E-01,-1.32E-04,8.79E-01,8.79E-01
4.17E-01,-3.43E-04,8.84E-01,8.84E-01
4.34E-01,1.59E-03,8.88E-01,8.88E-01
4.50E-01,-5.64E-03,8.81E-01,8.81E-01
4.67E-01,-8.88E-03,8.77E-01,8.77E-01
4.84E-01,-5.79E-03,8.73E-01,8.73E-01
5.01E-01,6.89E-02,7.33E-01,7.36E-01
5.17E-01,8.24E-02,3.70E-01,3.79E-01
5.34E-01,2.22E-02,1.15E-01,1.17E-01
5.51E-01,1.60E-02,8.87E-02,9.01E-02
5.67E-01,1.30E-02,9.04E-02,9.13E-02
5.84E-01,1.45E-02,8.18E-02,8.30E-02
6.01E-01,2.04E-02,7.54E-02,7.81E-02
6.17E-01,1.85E-02,8.29E-02,8.49E-02
6.34E-01,1.18E-02,7.57E-02,7.66E-02
6.51E-01,1.54E-02,7.10E-02,7.27E-02
6.67E-01,1.00E-02,7.65E-02,7.72E-02
6.84E-01,5.64E-03,8.35E-02,8.37E-02
7.01E-01,6.46E-03,7.95E-02,7.98E-02
7.17E-01,1.02E-02,7.11E-02,7.18E-02
7.34E-01,1.34E-02,7.61E-02,7.73E-02
7.51E-01,1.94E-02,6.88E-02,7.15E-02
7.67E-01,1.91E-02,6.62E-02,6.89E-02
7.84E-01,1.81E-02,6.72E-02,6.96E-02
8.01E-01,1.99E-02,6.66E-02,6.95E-02
8.17E-01,1.10E-02,7.39E-02,7.47E-02
8.34E-01,1.34E-02,6.38E-02,6.52E-02
8.51E-01,1.32E-02,6.89E-02,7.02E-02
8.68E-01,1.63E-02,7.03E-02,7.21E-02
8.84E-01,1.94E-02,6.37E-02,6.66E-02
9.01E-01,1.59E-02,6.27E-02,6.47E-02
9.18E-01,1.84E-02,6.87E-02,7.11E-02
9.34E-01,1.95E-02,7.59E-02,7.84E-02
9.51E-01,1.84E-02,6.70E-02,6.95E-02
9.68E-01,1.07E-02,6.61E-02,6.69E-02
9.84E-01,1.15E-02,7.05E-02,7.14E-02
1.00E+00,1.84E-02,6.86E-02,7.10E-02
1.02E+00,1.92E-02,6.40E-02,6.68E-02
1.03E+00,1.21E-02,6.84E-02,6.95E-02
1.05E+00,1.03E-02,7.52E-02,7.59E-02
1.07E+00,1.15E-02,8.01E-02,8.09E-02
1.08E+00,1.17E-02,7.17E-02,7.26E-02
1.10E+00,1.17E-02,6.59E-02,6.69E-02
1.12E+00,1.10E-02,7.41E-02,7.49E-02
1.13E+00,1.67E-02,7.32E-02,7.51E-02
1.15E+00,1.27E-02,7.11E-02,7.23E-02
1.17E+00,1.26E-02,6.42E-02,6.54E-02
1.18E+00,1.65E-02,6.67E-02,6.87E-02
1.20E+00,1.79E-02,6.85E-02,7.08E-02
1.22E+00,1.99E-02,6.55E-02,6.85E-02
1.23E+00,1.83E-02,6.51E-02,6.76E-02
1.25E+00,1.99E-02,6.56E-02,6.85E-02
1.27E+00,1.98E-02,6.89E-02,7.17E-02
1.28E+00,2.01E-02,6.50E-02,6.80E-02
1.30E+00,1.96E-02,6.05E-02,6.36E-02
1.32E+00,1.96E-02,6.50E-02,6.79E-02
1.33E+00,2.31E-02,6.41E-02,6.82E-02
1.35E+00,1.85E-02,6.52E-02,6.78E-02
1.37E+00,1.75E-02,6.47E-02,6.70E-02
1.38E+00,1.53E-02,6.60E-02,6.77E-02
1.40E+00,-1.51E-02,1.15E-01,1.16E-01
1.42E+00,-7.90E-03,8.41E-02,8.45E-02
