t,v_{x},v_{y},v
1.33E-01,1.08E-01,5.88E-01,5.98E-01
1.50E-01,2.58E-02,6.59E-01,6.59E-01
1.67E-01,2.80E-02,6.41E-01,6.42E-01
1.84E-01,2.86E-02,6.47E-01,6.48E-01
2.00E-01,2.07E-02,6.47E-01,6.47E-01
2.17E-01,2.58E-02,6.45E-01,6.45E-01
2.34E-01,2.78E-02,6.54E-01,6.55E-01
2.50E-01,2.52E-02,6.58E-01,6.58E-01
2.67E-01,2.38E-02,6.49E-01,6.49E-01
2.84E-01,2.38E-02,6.38E-01,6.39E-01
3.00E-01,2.74E-02,6.51E-01,6.52E-01
3.17E-01,2.75E-02,6.42E-01,6.43E-01
3.34E-01,2.34E-02,6.44E-01,6.45E-01
3.50E-01,2.82E-02,6.55E-01,6.55E-01
3.67E-01,3.41E-02,6.35E-01,6.36E-01
3.84E-01,2.69E-02,6.40E-01,6.40E-01
4.00E-01,1.99E-02,6.45E-01,6.46E-01
4.17E-01,2.70E-02,6.36E-01,6.36E-01
4.34E-01,3.59E-02,6.51E-01,6.52E-01
4.50E-01,2.58E-02,6.47E-01,6.47E-01
4.67E-01,1.92E-02,6.43E-01,6.44E-01
4.84E-01,2.59E-02,6.53E-01,6.53E-01
5.01E-01,3.27E-02,6.42E-01,6.43E-01
5.17E-01,2.59E-02,6.39E-01,6.40E-01
5.34E-01,1.34E-02,6.37E-01,6.37E-01
5.51E-01,1.92E-02,6.24E-01,6.24E-01
5.67E-01,2.59E-02,5.82E-01,5.83E-01
5.84E-01,1.46E-02,4.32E-01,4.33E-01
6.01E-01,4.51E-03,2.68E-01,2.68E-01
6.17E-01,-1.44E-03,2.06E-01,2.06E-01
6.34E-01,-2.38E-03,1.94E-01,1.94E-01
6.51E-01,2.29E-03,1.89E-01,1.89E-01
6.67E-01,2.02E-03,1.84E-01,1.84E-01
6.84E-01,-1.05E-03,1.89E-01,1.89E-01
7.01E-01,-1.07E-03,1.84E-01,1.84E-01
7.17E-01,1.00E-04,1.76E-01,1.76E-01
7.34E-01,-2.71E-04,1.75E-01,1.75E-01
7.51E-01,2.76E-03,1.74E-01,1.74E-01
7.67E-01,5.36E-03,1.73E-01,1.73E-01
7.84E-01,2.37E-03,1.71E-01,1.71E-01
8.01E-01,-2.20E-03,1.75E-01,1.75E-01
8.17E-01,8.99E-04,1.76E-01,1.76E-01
8.34E-01,5.82E-03,1.71E-01,1.71E-01
8.51E-01,6.75E-03,1.68E-01,1.68E-01
8.68E-01,8.38E-04,1.71E-01,1.71E-01
8.84E-01,-4.81E-04,1.77E-01,1.77E-01
9.01E-01,7.38E-03,1.72E-01,1.72E-01
9.18E-01,5.45E-03,1.68E-01,1.68E-01
9.34E-01,-4.03E-03,1.79E-01,1.79E-01
9.51E-01,-5.30E-03,1.86E-01,1.86E-01
9.68E-01,-1.70E-03,1.81E-01,1.81E-01
9.84E-01,-1.05E-03,1.75E-01,1.75E-01
1.00E+00,-2.67E-03,1.72E-01,1.72E-01
1.02E+00,1.62E-03,1.76E-01,1.76E-01
1.03E+00,7.06E-03,1.75E-01,1.76E-01
1.05E+00,2.98E-03,1.70E-01,1.70E-01
1.07E+00,-3.25E-03,1.74E-01,1.74E-01
1.08E+00,-1.94E-03,1.76E-01,1.76E-01
1.10E+00,6.67E-03,1.70E-01,1.71E-01
1.12E+00,6.88E-03,1.68E-01,1.68E-01
1.13E+00,1.82E-03,1.72E-01,1.72E-01
1.15E+00,2.57E-03,1.73E-01,1.73E-01
1.17E+00,5.61E-03,1.73E-01,1.74E-01
1.18E+00,6.46E-03,1.70E-01,1.70E-01
1.20E+00,2.14E-03,1.68E-01,1.68E-01
1.22E+00,3.28E-03,1.72E-01,1.72E-01
1.23E+00,7.10E-03,1.72E-01,1.72E-01
1.25E+00,4.16E-03,1.71E-01,1.71E-01
1.27E+00,4.69E-04,1.70E-01,1.70E-01
1.28E+00,1.53E-03,1.74E-01,1.74E-01
1.30E+00,7.38E-03,1.72E-01,1.72E-01
1.32E+00,3.93E-03,1.69E-01,1.70E-01
1.33E+00,2.12E-03,1.73E-01,1.73E-01
1.35E+00,5.04E-03,1.73E-01,1.73E-01
1.37E+00,4.53E-03,1.75E-01,1.75E-01
1.38E+00,5.95E-03,1.71E-01,1.71E-01
1.40E+00,1.55E-03,1.67E-01,1.67E-01
1.42E+00,-2.68E-04,1.74E-01,1.74E-01
1.43E+00,6.06E-03,1.76E-01,1.76E-01
1.45E+00,2.93E-03,1.66E-01,1.66E-01
,,,
