t,v_{x},v_{y},v
7.17E-01,1.21E-01,-5.43E-02,1.33E-01
7.34E-01,3.29E-03,6.33E-01,6.33E-01
7.51E-01,3.69E-03,6.41E-01,6.41E-01
7.67E-01,1.43E-02,6.37E-01,6.37E-01
7.84E-01,1.19E-02,6.30E-01,6.30E-01
8.01E-01,-3.52E-03,6.31E-01,6.31E-01
8.17E-01,5.27E-03,6.42E-01,6.42E-01
8.34E-01,1.40E-02,6.37E-01,6.37E-01
8.51E-01,5.10E-03,6.34E-01,6.34E-01
8.68E-01,-5.19E-03,6.36E-01,6.36E-01
8.84E-01,7.99E-03,6.39E-01,6.39E-01
9.01E-01,1.33E-02,6.45E-01,6.46E-01
9.18E-01,-4.59E-04,6.36E-01,6.36E-01
9.34E-01,2.72E-03,6.30E-01,6.30E-01
9.51E-01,8.70E-03,6.30E-01,6.30E-01
9.68E-01,1.04E-02,6.34E-01,6.35E-01
9.84E-01,5.86E-03,6.35E-01,6.35E-01
1.00E+00,-2.02E-03,6.22E-01,6.22E-01
1.02E+00,4.91E-03,6.29E-01,6.29E-01
1.03E+00,1.84E-02,6.26E-01,6.27E-01
1.05E+00,8.83E-03,6.29E-01,6.29E-01
1.07E+00,-9.43E-04,6.35E-01,6.35E-01
1.08E+00,8.44E-03,6.28E-01,6.28E-01
1.10E+00,1.41E-02,6.27E-01,6.27E-01
1.12E+00,1.05E-02,6.23E-01,6.23E-01
1.13E+00,2.33E-03,6.26E-01,6.26E-01
1.15E+00,3.97E-03,6.36E-01,6.36E-01
1.17E+00,9.93E-03,6.28E-01,6.28E-01
1.18E+00,5.63E-03,6.14E-01,6.14E-01
1.20E+00,-1.53E-03,6.07E-01,6.07E-01
1.22E+00,2.22E-03,6.05E-01,6.05E-01
1.23E+00,1.05E-02,5.85E-01,5.85E-01
1.25E+00,1.51E-02,4.92E-01,4.92E-01
1.27E+00,1.28E-02,2.91E-01,2.91E-01
1.28E+00,1.52E-02,1.10E-01,1.11E-01
1.30E+00,2.88E-02,4.57E-02,5.40E-02
1.32E+00,2.86E-02,1.91E-02,3.44E-02
1.33E+00,1.95E-02,1.13E-02,2.25E-02
1.35E+00,2.02E-02,1.40E-02,2.46E-02
1.37E+00,2.30E-02,4.08E-03,2.34E-02
1.38E+00,1.83E-02,1.94E-03,1.84E-02
1.40E+00,8.32E-03,7.19E-03,1.10E-02
1.42E+00,2.05E-02,3.88E-03,2.09E-02
1.43E+00,2.90E-02,2.52E-03,2.91E-02
1.45E+00,1.44E-02,-4.73E-04,1.44E-02
1.47E+00,1.75E-02,-4.06E-03,1.80E-02
1.48E+00,3.09E-02,-1.63E-03,3.09E-02
1.50E+00,2.59E-02,-1.21E-03,2.59E-02
1.52E+00,2.00E-02,-7.03E-03,2.12E-02
1.53E+00,1.92E-02,-1.13E-02,2.23E-02
1.55E+00,2.20E-02,-1.43E-04,2.20E-02
1.57E+00,3.59E-02,-1.12E-03,3.59E-02
1.58E+00,2.67E-02,-1.08E-02,2.88E-02
1.60E+00,8.61E-03,-4.46E-03,9.70E-03
1.62E+00,2.22E-02,4.48E-03,2.26E-02
1.63E+00,3.69E-02,2.61E-04,3.69E-02
1.65E+00,2.17E-02,-5.31E-03,2.23E-02
1.67E+00,8.60E-03,-1.31E-03,8.69E-03
1.69E+00,2.49E-02,-2.18E-05,2.49E-02
1.70E+00,3.67E-02,-5.68E-04,3.67E-02
1.72E+00,1.92E-02,-2.74E-03,1.94E-02
1.74E+00,1.05E-02,-5.89E-03,1.20E-02
1.75E+00,2.79E-02,-2.66E-03,2.81E-02
1.77E+00,3.27E-02,3.83E-03,3.29E-02
1.79E+00,2.36E-02,-5.17E-03,2.41E-02
1.80E+00,1.59E-02,-1.03E-02,1.89E-02
1.82E+00,1.89E-02,-3.85E-03,1.93E-02
1.84E+00,3.20E-02,4.90E-04,3.20E-02
1.85E+00,2.89E-02,-5.55E-03,2.95E-02
1.87E+00,1.60E-02,-1.07E-02,1.93E-02
1.89E+00,1.51E-02,-1.88E-03,1.52E-02
1.90E+00,3.46E-02,9.44E-05,3.46E-02
1.92E+00,3.34E-02,-4.08E-03,3.36E-02
1.94E+00,1.23E-02,-5.69E-03,1.35E-02
1.95E+00,2.09E-02,-9.21E-03,2.28E-02
1.97E+00,3.58E-02,-4.80E-04,3.58E-02
1.99E+00,2.84E-02,-1.23E-03,2.84E-02
2.00E+00,1.90E-02,-1.16E-02,2.22E-02
2.02E+00,1.96E-02,-4.58E-03,2.01E-02
2.04E+00,3.11E-02,2.26E-03,3.12E-02
2.05E+00,3.34E-02,-2.62E-03,3.35E-02
2.07E+00,1.78E-02,-6.84E-03,1.91E-02
2.09E+00,1.30E-02,-2.34E-03,1.32E-02
2.10E+00,3.39E-02,-1.88E-03,3.40E-02
2.12E+00,3.37E-02,-2.61E-03,3.38E-02
2.14E+00,1.29E-02,-3.49E-03,1.33E-02
2.15E+00,2.02E-02,-7.17E-03,2.14E-02
2.17E+00,3.36E-02,-3.33E-03,3.38E-02
2.19E+00,3.07E-02,-2.54E-03,3.08E-02
2.20E+00,2.13E-02,-8.17E-03,2.28E-02
2.22E+00,1.83E-02,-7.35E-03,1.97E-02
2.24E+00,3.42E-02,-3.63E-03,3.43E-02
2.25E+00,3.71E-02,-5.29E-03,3.75E-02
2.27E+00,1.68E-02,-4.07E-03,1.73E-02
2.29E+00,2.12E-02,-7.34E-03,2.24E-02
2.30E+00,2.68E-02,-1.42E-02,3.03E-02
2.32E+00,2.67E-02,-1.06E-02,2.88E-02
2.34E+00,2.67E-02,-1.13E-02,2.90E-02
2.35E+00,2.38E-02,-5.33E-03,2.44E-02
2.37E+00,2.19E-02,-1.43E-02,2.61E-02
