t,v_{x},v_{y},v
3.34E-02,2.07E-01,6.08E-01,6.42E-01
5.01E-02,1.90E-02,4.91E-01,4.91E-01
6.67E-02,1.64E-02,4.93E-01,4.93E-01
8.34E-02,1.77E-02,4.95E-01,4.95E-01
1.00E-01,1.50E-02,4.94E-01,4.94E-01
1.17E-01,1.34E-02,4.91E-01,4.91E-01
1.33E-01,1.24E-02,4.95E-01,4.95E-01
1.50E-01,9.05E-03,4.94E-01,4.95E-01
1.67E-01,1.08E-02,4.93E-01,4.93E-01
1.84E-01,1.06E-02,4.94E-01,4.94E-01
2.00E-01,1.19E-02,4.95E-01,4.96E-01
2.17E-01,1.10E-02,4.93E-01,4.93E-01
2.34E-01,1.23E-02,4.96E-01,4.96E-01
2.50E-01,1.28E-02,4.94E-01,4.94E-01
2.67E-01,9.36E-03,4.94E-01,4.94E-01
2.84E-01,1.61E-02,4.96E-01,4.97E-01
3.00E-01,1.76E-02,4.92E-01,4.92E-01
3.17E-01,1.10E-02,4.92E-01,4.92E-01
3.34E-01,1.05E-02,5.08E-01,5.08E-01
3.50E-01,1.33E-02,5.10E-01,5.10E-01
3.67E-01,2.01E-02,5.09E-01,5.09E-01
3.84E-01,1.71E-02,5.14E-01,5.14E-01
4.00E-01,8.68E-03,5.25E-01,5.25E-01
4.17E-01,2.04E-02,4.63E-01,4.63E-01
4.34E-01,3.42E-02,2.98E-01,3.00E-01
4.50E-01,4.06E-02,2.25E-01,2.29E-01
4.67E-01,4.06E-02,2.64E-01,2.67E-01
4.84E-01,3.31E-02,2.88E-01,2.90E-01
5.01E-01,3.16E-02,2.99E-01,3.01E-01
5.17E-01,3.48E-02,3.13E-01,3.15E-01
5.34E-01,3.00E-02,3.31E-01,3.33E-01
5.51E-01,2.39E-02,3.57E-01,3.58E-01
5.67E-01,2.00E-02,3.78E-01,3.79E-01
5.84E-01,1.85E-02,3.76E-01,3.76E-01
6.01E-01,2.67E-02,3.27E-01,3.29E-01
6.17E-01,2.42E-02,3.15E-01,3.15E-01
6.34E-01,1.63E-02,3.23E-01,3.24E-01
6.51E-01,2.77E-02,3.10E-01,3.11E-01
6.67E-01,3.33E-02,3.06E-01,3.08E-01
6.84E-01,2.75E-02,3.11E-01,3.12E-01
7.01E-01,2.24E-02,3.15E-01,3.16E-01
7.17E-01,2.37E-02,3.07E-01,3.08E-01
7.34E-01,2.91E-02,3.10E-01,3.12E-01
7.51E-01,2.66E-02,3.11E-01,3.12E-01
7.67E-01,2.15E-02,3.10E-01,3.11E-01
7.84E-01,2.49E-02,3.10E-01,3.11E-01
8.01E-01,3.47E-02,3.06E-01,3.08E-01
8.17E-01,2.87E-02,3.07E-01,3.08E-01
8.34E-01,2.40E-02,3.09E-01,3.10E-01
8.51E-01,3.15E-02,3.14E-01,3.16E-01
8.68E-01,3.09E-02,3.09E-01,3.11E-01
8.84E-01,3.02E-02,3.02E-01,3.04E-01
9.01E-01,3.03E-02,3.06E-01,3.08E-01
9.18E-01,2.92E-02,3.12E-01,3.13E-01
9.34E-01,2.72E-02,3.13E-01,3.14E-01
9.51E-01,2.73E-02,3.07E-01,3.08E-01
9.68E-01,2.90E-02,3.03E-01,3.04E-01
9.84E-01,3.07E-02,3.04E-01,3.05E-01
1.00E+00,3.59E-02,3.07E-01,3.09E-01
1.02E+00,3.23E-02,3.05E-01,3.07E-01
1.03E+00,2.61E-02,3.07E-01,3.08E-01
1.05E+00,2.91E-02,3.13E-01,3.14E-01
1.07E+00,3.15E-02,3.07E-01,3.09E-01
1.08E+00,3.29E-02,3.03E-01,3.05E-01
1.10E+00,2.90E-02,3.06E-01,3.07E-01
1.12E+00,2.63E-02,3.13E-01,3.14E-01
1.13E+00,2.74E-02,3.14E-01,3.16E-01
1.15E+00,2.90E-02,3.08E-01,3.09E-01
1.17E+00,3.04E-02,3.05E-01,3.06E-01
1.18E+00,2.83E-02,3.12E-01,3.13E-01
1.20E+00,2.60E-02,3.18E-01,3.19E-01
1.22E+00,2.31E-02,3.09E-01,3.10E-01
1.23E+00,2.58E-02,3.05E-01,3.06E-01
1.25E+00,2.90E-02,3.13E-01,3.14E-01
1.27E+00,2.34E-02,3.16E-01,3.17E-01
1.28E+00,2.62E-02,3.09E-01,3.10E-01
1.30E+00,2.93E-02,3.05E-01,3.06E-01
1.32E+00,3.00E-02,3.05E-01,3.07E-01
1.33E+00,3.53E-02,3.04E-01,3.06E-01
1.35E+00,3.12E-02,3.09E-01,3.10E-01
1.37E+00,2.57E-02,3.12E-01,3.13E-01
1.38E+00,2.82E-02,3.07E-01,3.08E-01
1.40E+00,3.52E-02,3.04E-01,3.06E-01
1.42E+00,3.36E-02,3.02E-01,3.04E-01
1.43E+00,2.46E-02,3.09E-01,3.10E-01
1.45E+00,2.56E-02,3.15E-01,3.16E-01
1.47E+00,3.24E-02,3.11E-01,3.12E-01
1.48E+00,2.91E-02,3.05E-01,3.06E-01
1.50E+00,2.90E-02,3.01E-01,3.02E-01
1.52E+00,3.31E-02,3.03E-01,3.05E-01
1.53E+00,3.84E-02,3.06E-01,3.09E-01
1.55E+00,3.33E-02,3.08E-01,3.10E-01
1.57E+00,1.99E-02,3.13E-01,3.14E-01
1.58E+00,2.59E-02,3.11E-01,3.13E-01
1.60E+00,3.27E-02,3.06E-01,3.08E-01
1.62E+00,2.94E-02,3.06E-01,3.08E-01
1.63E+00,2.46E-02,3.12E-01,3.13E-01
1.65E+00,2.55E-02,3.12E-01,3.13E-01
1.67E+00,3.27E-02,3.08E-01,3.09E-01
1.69E+00,3.00E-02,3.07E-01,3.09E-01
1.70E+00,2.56E-02,3.09E-01,3.10E-01
1.72E+00,2.56E-02,3.15E-01,3.16E-01
1.74E+00,2.45E-02,3.10E-01,3.11E-01
1.75E+00,2.95E-02,3.04E-01,3.06E-01
1.77E+00,3.21E-02,3.05E-01,3.06E-01
