t,v_{x},v_{y},v
5.84E-01,2.73E-03,1.72E-01,1.72E-01
6.01E-01,-6.87E-03,2.61E-01,2.61E-01
6.17E-01,-1.39E-02,2.94E-01,2.94E-01
6.34E-01,-1.66E-02,2.69E-01,2.70E-01
6.51E-01,-1.43E-02,2.98E-01,2.98E-01
6.67E-01,-1.35E-02,3.04E-01,3.04E-01
6.84E-01,-2.03E-02,3.03E-01,3.04E-01
7.01E-01,-2.28E-02,3.02E-01,3.03E-01
7.17E-01,-2.36E-02,3.00E-01,3.01E-01
7.34E-01,-1.51E-02,3.11E-01,3.11E-01
7.51E-01,-1.47E-02,3.06E-01,3.07E-01
7.67E-01,-2.09E-02,2.92E-01,2.93E-01
7.84E-01,-1.87E-02,3.06E-01,3.06E-01
8.01E-01,-9.82E-03,3.01E-01,3.01E-01
8.17E-01,-1.38E-02,2.99E-01,2.99E-01
8.34E-01,-2.36E-02,3.09E-01,3.10E-01
8.51E-01,-1.62E-02,2.96E-01,2.97E-01
8.68E-01,-7.41E-03,3.01E-01,3.01E-01
8.84E-01,-1.58E-02,3.03E-01,3.04E-01
9.01E-01,-2.04E-02,2.92E-01,2.93E-01
9.18E-01,-1.90E-02,3.02E-01,3.03E-01
9.34E-01,-1.29E-02,2.93E-01,2.93E-01
9.51E-01,-9.97E-03,2.96E-01,2.96E-01
9.68E-01,-1.97E-02,3.05E-01,3.06E-01
9.84E-01,-2.01E-02,2.89E-01,2.90E-01
1.00E+00,-1.10E-02,3.04E-01,3.05E-01
1.02E+00,-1.06E-02,2.98E-01,2.99E-01
1.03E+00,-2.16E-02,2.85E-01,2.85E-01
1.05E+00,-1.94E-02,3.08E-01,3.08E-01
1.07E+00,-1.15E-02,2.99E-01,2.99E-01
1.08E+00,-2.01E-02,2.88E-01,2.89E-01
1.10E+00,-2.52E-02,2.90E-01,2.91E-01
1.12E+00,-1.62E-02,2.97E-01,2.97E-01
1.13E+00,-1.24E-02,2.98E-01,2.98E-01
1.15E+00,-1.80E-02,2.87E-01,2.87E-01
1.17E+00,-2.25E-02,3.05E-01,3.05E-01
1.18E+00,-1.78E-02,2.99E-01,2.99E-01
1.20E+00,-1.48E-02,2.92E-01,2.92E-01
1.22E+00,-2.25E-02,3.05E-01,3.06E-01
1.23E+00,-2.30E-02,2.98E-01,2.99E-01
1.25E+00,-1.99E-02,2.90E-01,2.91E-01
1.27E+00,-1.91E-02,3.03E-01,3.04E-01
1.28E+00,-1.52E-02,3.00E-01,3.00E-01
1.30E+00,-2.37E-02,2.87E-01,2.88E-01
1.32E+00,-2.51E-02,3.04E-01,3.06E-01
1.33E+00,-8.78E-03,3.01E-01,3.01E-01
1.35E+00,-1.55E-02,2.88E-01,2.88E-01
1.37E+00,-2.71E-02,2.83E-01,2.85E-01
1.38E+00,-1.85E-02,2.94E-01,2.94E-01
1.40E+00,-5.57E-03,2.97E-01,2.97E-01
1.42E+00,-1.67E-02,2.87E-01,2.87E-01
1.43E+00,-2.54E-02,2.83E-01,2.85E-01
1.45E+00,-1.68E-02,2.93E-01,2.94E-01
1.47E+00,-1.13E-02,2.99E-01,2.99E-01
1.48E+00,-1.59E-02,2.86E-01,2.86E-01
1.50E+00,-2.08E-02,2.81E-01,2.82E-01
1.52E+00,-1.34E-02,2.93E-01,2.94E-01
1.53E+00,-9.63E-03,2.97E-01,2.97E-01
1.55E+00,-1.81E-02,2.85E-01,2.86E-01
1.57E+00,-2.53E-02,2.84E-01,2.85E-01
1.58E+00,-1.33E-02,2.96E-01,2.97E-01
1.60E+00,-7.53E-03,2.93E-01,2.93E-01
1.62E+00,-1.73E-02,2.81E-01,2.82E-01
1.63E+00,-2.27E-02,2.87E-01,2.88E-01
1.65E+00,-1.90E-02,2.93E-01,2.93E-01
1.67E+00,-1.76E-02,3.00E-01,3.00E-01
1.69E+00,-1.64E-02,2.86E-01,2.87E-01
1.70E+00,-2.42E-02,2.81E-01,2.82E-01
1.72E+00,-2.27E-02,2.90E-01,2.91E-01
1.74E+00,-1.18E-02,2.95E-01,2.95E-01
1.75E+00,-1.43E-02,2.89E-01,2.89E-01
1.77E+00,-2.35E-02,2.82E-01,2.83E-01
1.79E+00,-1.82E-02,2.85E-01,2.85E-01
1.80E+00,-8.48E-03,2.97E-01,2.97E-01
1.82E+00,-1.17E-02,2.90E-01,2.90E-01
1.84E+00,-2.24E-02,2.80E-01,2.81E-01
1.85E+00,-2.06E-02,2.84E-01,2.84E-01
1.87E+00,-8.47E-03,2.94E-01,2.94E-01
1.89E+00,-9.87E-03,2.92E-01,2.92E-01
1.90E+00,-2.13E-02,2.80E-01,2.81E-01
1.92E+00,-1.98E-02,2.82E-01,2.82E-01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
