t,v_{x},v_{y},v
1.67E-02,4.55E-02,-4.09E-02,6.12E-02
3.34E-02,1.03E-02,-4.85E-03,1.14E-02
5.01E-02,1.52E-02,-1.07E-02,1.86E-02
6.67E-02,1.47E-02,-1.19E-02,1.89E-02
8.34E-02,8.97E-03,-5.03E-03,1.03E-02
1.00E-01,4.52E-03,-4.78E-03,6.58E-03
1.17E-01,6.17E-03,-8.69E-03,1.07E-02
1.33E-01,8.52E-03,-8.15E-03,1.18E-02
1.50E-01,1.07E-02,-1.12E-02,1.55E-02
1.67E-01,7.37E-03,-1.03E-02,1.27E-02
1.84E-01,1.42E-03,-5.02E-03,5.22E-03
2.00E-01,1.35E-03,-2.50E-03,2.84E-03
2.17E-01,3.39E-03,-4.65E-03,5.75E-03
2.34E-01,3.33E-03,-3.90E-03,5.12E-03
2.50E-01,5.33E-03,-5.13E-03,7.39E-03
2.67E-01,5.31E-03,-6.00E-03,8.01E-03
2.84E-01,9.78E-03,-1.06E-02,1.44E-02
3.00E-01,1.07E-02,-1.08E-02,1.52E-02
3.17E-01,5.36E-03,-6.73E-03,8.60E-03
3.34E-01,9.88E-03,-1.06E-02,1.45E-02
3.50E-01,1.25E-02,-1.67E-02,2.09E-02
3.67E-01,1.13E-02,-1.49E-02,1.87E-02
3.84E-01,7.79E-03,-3.27E-02,3.36E-02
4.00E-01,1.57E-02,-5.57E-02,5.79E-02
4.17E-01,5.58E-03,7.10E-02,7.12E-02
4.34E-01,-3.23E-02,3.23E-01,3.24E-01
4.50E-01,-3.33E-02,4.37E-01,4.38E-01
4.67E-01,-1.42E-02,3.99E-01,3.99E-01
4.84E-01,-1.28E-02,3.58E-01,3.58E-01
5.01E-01,-1.11E-02,3.13E-01,3.13E-01
5.17E-01,-5.09E-03,2.98E-01,2.98E-01
5.34E-01,-1.80E-04,2.83E-01,2.83E-01
5.51E-01,2.44E-04,2.23E-01,2.23E-01
5.67E-01,-3.50E-06,1.77E-01,1.77E-01
