t,v_{x},v_{y},v
1.17E-01,4.47E-02,4.17E-02,6.12E-02
1.33E-01,6.04E-04,-1.73E-04,6.28E-04
1.50E-01,-1.74E-04,6.32E-05,1.85E-04
1.67E-01,8.85E-04,2.53E-04,9.21E-04
1.84E-01,1.60E-03,5.41E-04,1.69E-03
2.00E-01,-4.63E-05,9.81E-05,1.09E-04
2.17E-01,1.45E-03,2.21E-03,2.65E-03
2.34E-01,3.24E-03,3.16E-03,4.52E-03
2.50E-01,3.55E-03,2.03E-03,4.09E-03
2.67E-01,2.16E-04,-3.51E-04,4.12E-04
2.84E-01,3.57E-03,2.92E-03,4.61E-03
3.00E-01,4.71E-03,1.89E-03,5.08E-03
3.17E-01,-2.30E-03,-4.54E-03,5.09E-03
3.34E-01,-4.50E-03,-3.50E-03,5.70E-03
3.50E-01,-3.96E-03,-2.31E-03,4.58E-03
3.67E-01,2.99E-03,2.85E-04,3.01E-03
3.84E-01,1.28E-03,-3.02E-04,1.32E-03
4.00E-01,-4.24E-03,-1.43E-03,4.48E-03
4.17E-01,-9.22E-04,-9.46E-05,9.27E-04
4.34E-01,9.36E-03,4.49E-03,1.04E-02
4.50E-01,4.02E-03,2.21E-03,4.59E-03
4.67E-01,-7.93E-03,-3.31E-03,8.59E-03
4.84E-01,1.02E-04,4.30E-03,4.30E-03
5.01E-01,3.62E-03,6.29E-03,7.25E-03
5.17E-01,7.22E-04,3.34E-03,3.42E-03
5.34E-01,2.02E-03,1.07E-02,1.09E-02
5.51E-01,-1.71E-03,3.24E-02,3.25E-02
5.67E-01,6.72E-03,9.16E-02,9.19E-02
5.84E-01,2.37E-02,3.57E-01,3.57E-01
6.01E-01,3.18E-02,6.43E-01,6.43E-01
6.17E-01,3.49E-02,7.29E-01,7.30E-01
6.34E-01,4.65E-02,7.64E-01,7.66E-01
6.51E-01,4.86E-02,7.77E-01,7.78E-01
6.67E-01,3.65E-02,7.65E-01,7.66E-01
6.84E-01,4.33E-02,7.73E-01,7.74E-01
7.01E-01,5.26E-02,7.87E-01,7.89E-01
7.17E-01,4.58E-02,7.84E-01,7.85E-01
7.34E-01,3.83E-02,7.88E-01,7.89E-01
7.51E-01,4.38E-02,7.92E-01,7.94E-01
7.67E-01,5.27E-02,7.82E-01,7.84E-01
7.84E-01,4.60E-02,7.73E-01,7.74E-01
8.01E-01,3.98E-02,7.86E-01,7.87E-01
8.17E-01,4.42E-02,7.92E-01,7.93E-01
8.34E-01,4.44E-02,7.92E-01,7.93E-01
8.51E-01,4.09E-02,7.86E-01,7.87E-01
8.68E-01,3.74E-02,7.88E-01,7.89E-01
8.84E-01,3.76E-02,7.94E-01,7.95E-01
9.01E-01,4.28E-02,7.96E-01,7.97E-01
9.18E-01,3.69E-02,7.95E-01,7.95E-01
9.34E-01,2.96E-02,7.92E-01,7.93E-01
9.51E-01,3.74E-02,7.96E-01,7.97E-01
9.68E-01,4.37E-02,7.98E-01,7.99E-01
9.84E-01,4.57E-02,8.02E-01,8.03E-01
1.00E+00,4.24E-02,7.98E-01,8.00E-01
1.02E+00,3.56E-02,7.96E-01,7.97E-01
1.03E+00,3.99E-02,7.98E-01,7.99E-01
1.05E+00,4.26E-02,7.91E-01,7.92E-01
1.07E+00,3.62E-02,7.92E-01,7.93E-01
1.08E+00,3.59E-02,7.95E-01,7.96E-01
1.10E+00,4.21E-02,7.94E-01,7.96E-01
1.12E+00,4.92E-02,7.97E-01,7.98E-01
1.13E+00,4.36E-02,7.95E-01,7.97E-01
1.15E+00,4.15E-02,7.97E-01,7.98E-01
1.17E+00,5.34E-02,8.04E-01,8.06E-01
1.18E+00,5.08E-02,8.00E-01,8.02E-01
1.20E+00,3.58E-02,7.94E-01,7.95E-01
1.22E+00,4.33E-02,8.03E-01,8.05E-01
1.23E+00,5.13E-02,8.01E-01,8.03E-01
1.25E+00,4.86E-02,7.97E-01,7.99E-01
1.27E+00,4.26E-02,7.99E-01,8.00E-01
1.28E+00,3.90E-02,7.99E-01,8.00E-01
1.30E+00,4.91E-02,8.06E-01,8.08E-01
1.32E+00,4.65E-02,8.07E-01,8.09E-01
1.33E+00,3.96E-02,7.99E-01,8.00E-01
,,,
