t,v_{x},v_{y},v
1.67E-01,1.54E-03,-5.62E-02,5.62E-02
1.84E-01,-8.59E-04,1.12E-03,1.41E-03
2.00E-01,-7.99E-04,1.10E-03,1.36E-03
2.17E-01,-3.61E-03,2.70E-03,4.51E-03
2.34E-01,-4.14E-03,3.19E-03,5.23E-03
2.50E-01,-3.90E-03,2.71E-03,4.75E-03
2.67E-01,-5.34E-04,-2.27E-04,5.80E-04
2.84E-01,3.55E-03,-2.25E-03,4.20E-03
3.00E-01,1.98E-03,-1.01E-03,2.22E-03
3.17E-01,-1.61E-03,3.05E-03,3.44E-03
3.34E-01,-2.64E-03,4.84E-03,5.52E-03
3.50E-01,-1.92E-03,3.33E-03,3.85E-03
3.67E-01,-2.76E-03,7.86E-03,8.33E-03
3.84E-01,-8.56E-03,9.47E-03,1.28E-02
4.00E-01,-9.78E-03,5.15E-03,1.11E-02
4.17E-01,-2.39E-03,3.63E-03,4.35E-03
4.34E-01,-1.98E-03,1.84E-03,2.70E-03
4.50E-01,-4.17E-03,1.65E-03,4.49E-03
4.67E-01,-3.62E-03,8.00E-03,8.79E-03
4.84E-01,-3.06E-03,2.89E-02,2.91E-02
5.01E-01,-1.21E-02,1.96E-01,1.97E-01
5.17E-01,-1.77E-02,5.61E-01,5.61E-01
5.34E-01,-1.98E-02,7.86E-01,7.87E-01
5.51E-01,-2.54E-02,8.12E-01,8.13E-01
5.67E-01,-2.43E-02,8.21E-01,8.21E-01
5.84E-01,-2.67E-02,8.20E-01,8.20E-01
6.01E-01,-2.69E-02,8.21E-01,8.22E-01
6.17E-01,-2.45E-02,8.23E-01,8.23E-01
6.34E-01,-2.59E-02,8.20E-01,8.20E-01
6.51E-01,-2.62E-02,8.24E-01,8.24E-01
6.67E-01,-3.26E-02,8.33E-01,8.34E-01
6.84E-01,-3.57E-02,8.38E-01,8.38E-01
7.01E-01,-3.81E-02,8.33E-01,8.33E-01
7.17E-01,-3.30E-02,8.22E-01,8.23E-01
7.34E-01,-2.62E-02,8.32E-01,8.33E-01
7.51E-01,-2.50E-02,8.29E-01,8.29E-01
7.67E-01,-2.30E-02,8.29E-01,8.30E-01
7.84E-01,-2.93E-02,8.31E-01,8.32E-01
8.01E-01,-3.68E-02,8.35E-01,8.36E-01
8.17E-01,-3.16E-02,8.30E-01,8.30E-01
8.34E-01,-3.16E-02,8.26E-01,8.26E-01
8.51E-01,-4.03E-02,8.39E-01,8.40E-01
8.68E-01,-2.91E-02,8.29E-01,8.30E-01
8.84E-01,-2.48E-02,8.31E-01,8.31E-01
9.01E-01,-3.84E-02,8.32E-01,8.33E-01
9.18E-01,-3.79E-02,8.38E-01,8.39E-01
9.34E-01,-2.24E-02,8.41E-01,8.41E-01
9.51E-01,-2.20E-02,8.25E-01,8.26E-01
9.68E-01,-3.40E-02,8.34E-01,8.34E-01
9.84E-01,-4.02E-02,8.38E-01,8.39E-01
1.00E+00,-3.22E-02,8.33E-01,8.34E-01
1.02E+00,-2.29E-02,8.35E-01,8.36E-01
1.03E+00,-3.18E-02,8.33E-01,8.34E-01
1.05E+00,-3.99E-02,8.40E-01,8.41E-01
1.07E+00,-3.41E-02,8.53E-01,8.53E-01
1.08E+00,-3.21E-02,8.47E-01,8.48E-01
1.10E+00,-4.39E-02,8.38E-01,8.40E-01
1.12E+00,-3.66E-02,8.43E-01,8.43E-01
1.13E+00,-3.34E-02,8.44E-01,8.45E-01
1.15E+00,-3.95E-02,8.45E-01,8.46E-01
1.17E+00,-3.10E-02,8.41E-01,8.42E-01
1.18E+00,-4.04E-02,8.41E-01,8.42E-01
1.20E+00,-3.82E-02,8.40E-01,8.41E-01
1.22E+00,-2.97E-02,8.37E-01,8.38E-01
1.23E+00,-3.25E-02,8.46E-01,8.47E-01
1.25E+00,-3.80E-02,8.48E-01,8.49E-01
1.27E+00,-3.43E-02,8.49E-01,8.50E-01
1.28E+00,-3.16E-02,8.51E-01,8.51E-01
1.30E+00,-3.49E-02,8.46E-01,8.46E-01
1.32E+00,-3.97E-02,8.46E-01,8.47E-01
1.33E+00,-4.34E-02,8.47E-01,8.48E-01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
